Region,Zip Code,Date,Total Doses - Daily,Total Doses - Cumulative,1st Dose - Daily,1st Dose - Cumulative,1st Dose - Percent Population,Vaccine Series Completed - Daily,Vaccine Series Completed - Cumulative,Vaccine Series Completed  - Percent Population,Population,Longitude Coordinate,Latitude Coordinate
Central ,60601,2/26/21,44,3670,12,2317,0.154,32,1353,0.09,15083,-87.6228440,41.8862620
Central ,60602,2/26/21,5,618,2,388,0.339,3,230,0.201,1145,-87.6283090,41.8831360
Central ,60603,2/26/21,2,681,0,441,0.419,2,240,0.228,1052,-87.6254730,41.8801120
Central ,60604,2/26/21,13,445,2,277,0.337,11,168,0.204,823,-87.6290290,41.8781530
Central ,60605,2/26/21,107,9223,33,5590,0.192,74,3633,0.125,29060,-87.6234490,41.8678240
West Side,60606,2/26/21,16,972,3,601,0.183,13,371,0.113,3287,-87.6367600,41.8826340
West Side,60607,2/26/21,106,9109,17,5481,0.187,89,3628,0.124,29293,-87.6527270,41.8761040
West Side,60608,2/26/21,379,14206,173,9843,0.123,206,4363,0.054,80059,-87.6703660,41.8498790
Southwest Side,60609,2/26/21,228,7505,121,5442,0.089,107,2063,0.034,60939,-87.6533820,41.8120170
Central ,60610,2/26/21,144,10383,67,6654,0.164,77,3729,0.092,40548,-87.6358100,41.9045500
Central ,60611,2/26/21,106,14888,43,8841,0.266,63,6047,0.182,33224,-87.6202910,41.8947340
West Side,60612,2/26/21,137,7129,44,4555,0.135,93,2574,0.076,33735,-87.6870110,41.8800400
North Side,60613,2/26/21,182,12495,76,8097,0.16,106,4398,0.087,50761,-87.6613430,41.9537420
North Side,60614,2/26/21,198,17607,70,11140,0.155,128,6467,0.09,71954,-87.6520640,41.9226050
South Side,60615,2/26/21,118,10737,58,6399,0.158,60,4338,0.107,40590,-87.6027250,41.8019930
South Side,60616,2/26/21,178,11142,58,7357,0.136,120,3785,0.07,54197,-87.6295310,41.8448690
Far Southeast Side,60617,2/26/21,301,10814,154,7594,0.091,147,3220,0.039,83553,-87.5568970,41.7212570
North Side,60618,2/26/21,334,17277,166,11823,0.125,168,5454,0.057,94907,-87.7033430,41.9466990
Far Southeast Side,60619,2/26/21,283,8627,170,5860,0.096,113,2767,0.045,61207,-87.6056900,41.7447370
Far Southwest Side,60620,2/26/21,290,7343,172,5339,0.079,118,2004,0.03,67711,-87.6516560,41.7408730
Southwest Side,60621,2/26/21,53,2571,41,1924,0.069,12,647,0.023,28018,-87.6388120,41.7769310
West Side,60622,2/26/21,170,13290,70,8552,0.16,100,4738,0.089,53294,-87.6818180,41.9027620
West Side,60623,2/26/21,814,11276,650,8850,0.109,164,2426,0.03,81283,-87.7174460,41.8503210
West Side,60624,2/26/21,102,3329,54,2490,0.071,48,839,0.024,34892,-87.7227350,41.8794170
Far North Side,60625,2/26/21,308,14509,168,10046,0.126,140,4463,0.056,79444,-87.7018160,41.9711550
Far North Side,60626,2/26/21,166,10125,94,6688,0.132,72,3437,0.068,50544,-87.6698340,42.0094690
Far Southeast Side,60628,2/26/21,230,7132,138,5059,0.079,92,2073,0.032,64254,-87.6215370,41.6941920
Southwest Side,60629,2/26/21,750,14145,559,11125,0.101,191,3020,0.027,110029,-87.7115650,41.7770610
Far North Side,60630,2/26/21,246,10175,139,7184,0.127,107,2991,0.053,56433,-87.7596110,41.9712610
Far North Side,60631,2/26/21,169,8314,79,5777,0.196,90,2537,0.086,29529,-87.8133710,41.9950190
Southwest Side,60632,2/26/21,556,12343,376,9873,0.11,180,2470,0.027,89857,-87.7112510,41.8100380
Far Southeast Side,60633,2/26/21,57,1279,34,930,0.073,23,349,0.028,12689,-87.5560370,41.6531470
Northwest Side,60634,2/26/21,255,12924,127,9161,0.122,128,3763,0.05,75082,-87.7973730,41.9449670
Southwest Side,60636,2/26/21,100,2625,68,1975,0.066,32,650,0.022,30024,-87.6685970,41.7759900
South Side,60637,2/26/21,110,7480,55,4580,0.097,55,2900,0.061,47300,-87.6040530,41.7809910
Southwest Side,60638,2/26/21,263,9891,116,7036,0.12,147,2855,0.049,58669,-87.7719020,41.7870320
