REGION,GEOG,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC
Far North Side,Albany Park,50342.99998,12924.99999,12891.99999,11619.99999,8083.999996,2716.999999,1491.999999,612.9999997,34.300953,16126.99999,22985.99999,2501.999998,7202.999996,1524.999999,27977.99998,26352.99998,1570.999999,11815.99999,7196.999997,8191.999996,4568.999997,1824.999999,7768.999996,4059.999998,3319.000001,3668.000001,3056.000001,2124.000001,2522.000001,1989.000001,59883.04094
Southwest Side,Archer Heights,13055.08151,4180.292247,2753.61829,2815.956263,1672.978132,985.0516899,400.1848906,247.0000002,32.65470175,2130.751491,10109.73559,122.8409542,647.9125252,43.84095428,6331.047113,5809.924449,521.1226643,3277.749796,2263.838967,2989.584493,1330.580517,298.2842943,857.0656066,248.2842943,880.7544638,1309.053571,736.9017855,338.9598213,517.5446427,146.7723214,44108.84007
South Side,Armour Square,13779.1184,2542.40801,2788.930936,2297.106212,2520.154383,1922.259432,1163.746373,544.5130587,45.73847873,1694.669183,595.5206042,1393.301799,10027.62682,68.00000001,6469.138782,5766.881268,702.2575145,5427.680153,3849.277425,2933.86071,936.1828212,359.8670923,1534.230993,830.4927456,2595.683487,1180.591744,616.9449544,346.1559634,490.6146791,237.9128441,27463.83031
Far Southwest Side,Ashburn,43985.99999,12981,8464.999998,9192.999998,8529.999996,3057,1147,613.0000005,35.90115321,4423.999999,17303,20913.99999,370.0000001,975.0000001,22511,19862,2649,10786,4229.999999,8655.999997,6269,2739.999998,3596.999999,2054.999999,2049,2343,2911,2091.999998,2298.000001,1387,68463.735
Far Southwest Side,Auburn Gresham,45271.00001,11183,8665.000001,7891,9595.000003,3860.000001,3204,873.0000003,40.78042825,362.0000001,835.9999999,43529.00001,120,424.0000001,20074.00001,16299.00001,3769.000001,16418.00001,4925.000001,9742.000001,9530.000003,2382,2974.000001,1625,6602.999996,4311.999997,2877.999998,1388.999998,1236.999999,547.9999993,34661.2265
West Side,Austin,94762.00002,25491,21226,17324,17887,7822.000002,3920.000001,1092,35.54578333,4562.999998,13617,74996.00001,500.0000002,1086,41841.00002,36165.00001,5676.000003,32410.00002,12477,21745.00001,14319,4409.000001,5617.000001,3108,12629,8152.999999,4699.000001,2520,3019,1202,33419.90397
Far Southeast Side,Avalon Park,9737.719124,2217.815512,1546.660391,1592.811747,2228.753012,957.6596381,889.7710844,304.2477409,45.39936491,61.66566266,55.00000004,9368.527106,80.00000003,172.5263555,4237.292519,3546.562082,690.7304377,3950.833917,892.7432226,1799.090361,1916.341114,424.7989456,1159.0625,668.88253,1132.676413,972.0565307,725.5808969,380.8460035,441.88499,230.8128657,43372.9383
North Side,Avondale,37908.99999,8748.999997,12371,8155.999998,4962.999999,2282.999999,978.9999994,407.9999997,32.78624003,13175,21652.99999,742.9999999,1417.999999,919.9999997,21829,20782,1046.999999,8762.999999,5699.999999,5828.999998,4137.999999,1474,6039.999997,3260.999999,2553.999999,3092.999998,2456.999998,1757.999999,1930.999999,1595,60000
Northwest Side,Belmont Cragin,80648.43439,24495.47357,17002.3342,18380.59261,13768.63623,4477.382625,1912.582255,611.4329019,34.03640362,10390.12976,66123.07801,1890.69464,1458.120887,786.4110908,41366.92469,38393.31327,2954.611421,19972.73815,16612.35083,16239.61775,8238.886137,2874.899445,4727.026987,1962.902773,5171.814434,5907.323024,4388.814434,2860.342498,2922.090493,1218.970218,50767.45194
Far Southwest Side,Beverly,20437.00001,5158.000002,2830.000001,4144.000001,4992.000001,2102.000001,862.0000002,349.0000002,43.16004673,11595,1096.000001,7136.000001,190,420.0000002,10691.00001,10227.00001,464.0000005,5396.000007,529.0000002,1896,2600.000001,1233,4000.000001,3986.000001,611.0000001,1087,994,1160,1298,2407,98415.94828
